species,photo,rock#,rock.circumference
rand,P1210690,4,1
rand,P1210685,4,2
rand,P1210680,4,3
rand,P1210675,4,4.5
rand,P1210670,4,2.5
rand,P1210665,4,1.5
sagu,0716-NST,4,NA
sagu,0715-NST,4,1
sagu,0714-NST,4,NA
sagu,0713-NST,4,NA
sagu,0712-NST,4,NA
sagu,0711-NST,4,NA
sagu,0709-NST,4,NA
sagu,0708-NST,4,NA
sagu,0707-NST,4,4
sagu,0705-NST,4,NA
sagu,0703-NST,4,0.5
sagu,0704-NST,4,NA
sagu,0702-NST,4,NA
sagu,0701-NST,4,NA
sagu,0710-NST,4,NA
ltdu,0701-NST,4,1.5
ltdu,0713-NST,4,NA
ltdu,0708-NST,4,NA
ltdu,0707-NST,4,NA
ltdu,0702-NST,4,6.5
coei,07127-NST,4,4.5
coei,0774-NST,4,3.5
coei,0769-NST,4,2.5
coei,0768-NST,4,NA
coei,0763-NST,4,3
coei,07103-NST,4,5
coei,0713-NST,4,2.5
coei,07126-NST,4,NA
coei,07125-NST,4,4.5
coei,07124-NST,4,4.5
coei,07120-NST,4,4.5
coei,07119-NST,4,4
coei,0745-NST,4,5.5
coei,0750-NST,4,3.5
coei,0749-NST,4,4.5
coei,0738-NST,4,7.5
coei,0737-NST,4,0.5
coei,0735-NST,4,1
coei,0729-NST,4,NA
coei,0718-NST,4,NA
coei,005-NST,4,NA
coei,115-NST,4,1
arte,07279-NST,4,4
arte,07278-NST,4,NA
arte,07277-NST,4,NA
arte,07191-NST,4,2
arte,0758-NST,4,1.5
arte,0752-NST,4,2
arte,07276-NST,4,NA
arte,07275-NST,4,0.5
arte,07258-NST,4,NA
arte,07257-NST,4,1
arte,07243-NST,4,5
arte,07242-NST,4,NA
arte,07226-NST,4,NA
arte,07224-NST,4,2.5
arte,07222-NST,4,NA
arte,07219-NST,4,NA
arte,07273-NST,4,NA
arte,07272-NST,4,NA
arte,07271-NST,4,1
arte,07210-NST,4,NA
arte,07183-NST,4,NA
arte,07182-NST,4,NA
arte,07180-NST,4,1
arte,07178-NST,4,0.5
arte,07171-NST,4,NA
arte,07158-NST,4,NA
arte,07156-NST,4,1
arte,07154-NST,4,NA
arte,07152-NST,4,NA
arte,07148-NST,4,2.5
arte,07133-NST,4,NA
arte,07131-NST,4,5
arte,07129-NST,4,5
arte,0757-NST,4,7
arte,0755-NST,4,NA
arte,0718-NST,4,NA
arte,0712-NST,4,NA
arte,0709-NST,4,NA
arte,07261-NST,4,NA
arte,07201-NST,4,NA
arte,07161-NST,4,1.5
arte,07159-NST,4,NA
arte,07157-NST,4,0.5
arte,07144-NST,4,NA
