species,photo,ground.type,percent.cover
arte,07219-NST,other,0
arte,07273-NST,other,0
arte,07272-NST,other,0
arte,07271-NST,other,0
arte,07210-NST,other,0
arte,07183-NST,other,0
arte,07182-NST,other,0
arte,07180-NST,other,0
arte,07178-NST,other,0
arte,07171-NST,other,0
arte,07158-NST,other,0
arte,07156-NST,other,0
arte,07154-NST,other,0
arte,07152-NST,other,0
arte,07148-NST,other,0
arte,07133-NST,other,0
arte,07131-NST,other,0
arte,07129-NST,other,0
arte,0757-NST,other,0
arte,0755-NST,other,0
arte,0718-NST,other,0
arte,0712-NST,other,0
arte,0709-NST,other,0
arte,07261-NST,other,0
arte,07201-NST,other,0
arte,07161-NST,other,0
arte,07159-NST,other,0
arte,07157-NST,other,0
arte,07144-NST,other,0
arte,07139-NST,other,0
arte,0730-NST,other,0
pusa,pusa0701,other,0
ltdu,ltdu0712,other,0
coei,coei07999,other,0
coei,coei07998,other,0
coei,coei07997,other,0
coei,coei0794,other,0
coei,coei0790,other,0
coei,coei0702,other,0
arte,arte07998,other,0
arte,arte07997,other,0
